evidence_id,cycle,application_family,regime,measure,value,unit,timing_boundary,disposition,disclosure_note
source_corpus,v13,source_frontend,parameterized,accepted_programs,40,of_60,semantic_validation,supported_bounded,Four supported grammar families across ten parameterizations each
source_rejection,v13,source_frontend,parameterized,rejected_programs,20,of_60,semantic_validation,supported_bounded,Two unsupported template families reject explicitly
v11_sparse,v11,traffic_and_thermal,sparse,median_speedup,2.32,ratio,decision_path,supported_local,Median over five qualifying sparse rows against strongest JAX or Torch control
v11_broad,v11,traffic_and_thermal,mixed,sspm_relative_performance,0.55,ratio,decision_path,rejected_broad,Reciprocal of 1.82x broad slowdown versus strongest compiled-batch baseline
v11_cold,v11,jit_backends,cold,cold_cost_recovered,0,boolean,through_10000_decisions,failed,Cold compilation did not amortize in tested range
v12_sparse_wins,v12,multi_application,sparse,winning_rows,14,of_16,decision_path,supported_local,Traffic queue thermal and branching rows
v12_sparse_speed,v12,multi_application,sparse,median_speedup_among_wins,4.36,ratio,decision_path,supported_local,Compact divided into full among winning rows
v12_dense_wins,v12,multi_application,dense,full_replay_winning_rows,7,of_7,decision_path,supported_fallback,Locality disappears in dense rows
v12_dense_speed,v12,multi_application,dense,full_replay_median_advantage,3.44,ratio,decision_path,supported_fallback,Full divided into compact convention inverted to preferred-path advantage
v13_resident_wins,v13,workflow_traces,sparse,resident_winning_rows,23,of_24,resident_decision,supported_local,External Montage workflow traces
v13_resident_speed,v13,workflow_traces,sparse,median_speedup_among_wins,5.58,ratio,resident_decision,supported_local,Resident-only timing boundary
v13_workflow_wins,v13,workflow_traces,sparse,end_to_end_winning_rows,21,of_24,end_to_end_workflow,supported_local,Includes measured workflow boundary
v13_workflow_speed,v13,workflow_traces,sparse,median_speedup_among_wins,4.43,ratio,end_to_end_workflow,supported_local,End-to-end timing distinct from resident-only result
v13_dense_coverage,v13,workflow_traces,dense,measured_rows,0,count,end_to_end_workflow,unmeasured,No dense rows in frozen external trace set
v13_selector,v13,workflow_traces,sparse,preexecution_operational_selector,0,boolean,post_hoc_analysis,rejected_operational,Classifier consumes realized closure after compact execution
e2a_case14,e2a_case14,cross_project_control,mixed,executed_work_ratio,1.2122,ratio,fair_control,rejected_efficiency,Semantic pass and compact branching retained but the efficiency gate failed
e2a_case15,e2a_case15,cross_project_control,mixed,executed_work_ratio,1.0000,ratio,equal_adaptive_propagation,rejected_intrinsic_causality,Conventional control received equivalent dependencies value stabilization and adaptive propagation
e2a_case15_inspection,e2a_case15,cross_project_control,mixed,inspection_ratio,0.1534,ratio,equal_adaptive_propagation,supported_bounded,Implementation-specific validation difference after work parity
e2a_case15_storage,e2a_case15,cross_project_control,mixed,branch_storage_ratio,0.0525,ratio,equal_adaptive_propagation,supported_bounded,Implementation-specific compact branch storage after work parity
